prompt_id,group,step,token_id,piece,normalized_piece,canonical_key,token_class,mean_weight,peak_weight,peak_layer,selected_layers,selected_rate,context
P01A_routing_selfref,routing_selfref,0,760,The,The,the,structural,0.01211774356294627,0.1290801184889101,3,5,0.125,The text you provided
P01A_routing_selfref,routing_selfref,1,1414, text,text,text,content,0.03229099309969008,0.19313355061388482,19,11,0.275,The text you provided describes
P01A_routing_selfref,routing_selfref,2,488, you,you,you,structural,0.0160932612611543,0.12059477505894159,24,7,0.175,The text you provided describes the
P01A_routing_selfref,routing_selfref,3,3766, provided,provided,provided,content,0.037792616163402695,0.17783289583407064,19,13,0.325,The text you provided describes the operation
P01A_routing_selfref,routing_selfref,4,16067, describes,describes,describes,content,0.03822925683749774,0.35070233637545406,11,11,0.275, text you provided describes the operation of
P01A_routing_selfref,routing_selfref,5,279, the,the,the,structural,0.04605997979104912,0.16007300802223481,8,17,0.425, you provided describes the operation of a
P01A_routing_selfref,routing_selfref,6,5488, operation,operation,operation,content,0.061349996262156294,0.21974169244935732,14,19,0.475, provided describes the operation of a **
P01A_routing_selfref,routing_selfref,7,314, of,of,of,structural,0.044226738670112384,0.16700902676550602,14,18,0.45, describes the operation of a **M
P01A_routing_selfref,routing_selfref,8,264, a,a,a,structural,0.06372442058853771,0.18029443647237617,21,22,0.55, the operation of a **Mixture
P01A_routing_selfref,routing_selfref,9,2972, **,**,**,structural,0.01898252387324507,0.16941928830089262,34,8,0.2, operation of a **Mixture-of
P01A_routing_selfref,routing_selfref,10,44,M,M,m,content,0.05378800245489719,0.17575227477053806,20,18,0.45, of a **Mixture-of-
P01A_routing_selfref,routing_selfref,11,12370,ixture,ixture,ixture,content,0.050799851896618044,0.30295682751115083,35,18,0.45, a **Mixture-of-Experts
P01A_routing_selfref,routing_selfref,12,8404,-of,-of,of,structural,0.062228805071058234,0.2506465874068064,1,19,0.475, **Mixture-of-Experts (
P01A_routing_selfref,routing_selfref,13,12,-,-,-,structural,0.03769610840804782,0.16564960187724256,34,12,0.3,Mixture-of-Experts (Mo
P01A_routing_selfref,routing_selfref,14,83167,Experts,Experts,experts,self_ref,0.052243019240510245,0.2849609977472857,35,18,0.45,ixture-of-Experts (MoE
