Thinking Process:

1.  **Analyze the Request:**
    *   **Topic:** Electrical conductivity.
    *   **Subjects:** Copper (conductor) vs. Rubber (insulator).
    *   **Task:** Explain *why* copper conducts electricity well while rubber does not.
    *   **Target Audience:** General audience (likely looking for a clear, scientific but accessible explanation).

2.  **Identify Key Concepts:**
    *   Atomic structure (protons, neutrons, electrons).
    *   Electron shells/orbitals.
    *   Valence electrons.
    *   Free electrons / Electron sea model.
    *   Energy bands (valence band vs. conduction band) - *Optional but good for depth.*
    *   Bonding types (metallic vs. covalent/polymeric).
    *   Resistance/Flow of charge.

3.  **Drafting the Explanation - Step-by-Step:**

    *   **Introduction:** State the basic difference (conductor vs. insulator).
    *   **Atomic Structure:** Briefly mention atoms have electrons orbiting the nucleus.
    *   **Copper (The Conductor):**
