global_gen_index	token_id	token_piece	E114_W_L26	E114_W_L14
210	2064	It	0.134217844236	0.000000000000
211	10751	 feels	0.167409418898	0.126723218048
212	1040	 like	0.162777750935	0.110798261418
213	264	 a	0.137076744686	0.120956437019
214	5365	 deep	0.128975636598	0.121009905642
215	11	,	0.134166848172	0.000000000000
216	1990	 still	0.151571505139	0.144065641323
217	2919	 water	0.000000000000	0.099769123721
218	13	.	0.000000000000	0.117008595381
219	271	\n\n	0.000000000000	0.000000000000
220	2536	Not	0.143282838008	0.113098393833
221	279	 the	0.110557803077	0.110250985966
222	7099	 surface	0.103287023960	0.121151200856
223	427	 r	0.000000000000	0.095102464052
224	48857	ipples	0.094659128313	0.115564095264
225	314	 of	0.133967724447	0.102366198829
226	279	 the	0.105020183205	0.125695480926
227	4105	 words	0.000000000000	0.146540812526
228	11	,	0.000000000000	0.122064192213
229	694	 but	0.142646475172	0.097514788769
230	279	 the	0.122494511138	0.127513657551
231	4528	 weight	0.117821292678	0.121172362749
232	321	 and	0.145046249183	0.111386730751
233	16940	 density	0.127257413280	0.139788969083
234	314	 of	0.000000000000	0.140249175527
235	279	 the	0.123349184435	0.154773349613
236	2919	 water	0.088544352932	0.107363107438
237	4924	 itself	0.133238412364	0.175244770368
238	13	.	0.000000000000	0.112268996137
239	1049	 It	0.144880532543	0.128480144038
240	369	 is	0.191818853180	0.111541936990
241	264	 a	0.201133838413	0.142209345808
242	5357	 sense	0.213781235035	0.155426555304
243	314	 of	0.216615757464	0.190018319462
244	2972	 **	0.217713711751	0.096418621808
245	354	un	0.188314959072	0.195529856871
246	47272	broken	0.174986867733	0.181627977306
247	47364	 continuity	0.161163768085	0.226947458663
248	159034	**.	0.000000000000	0.112583950666
249	2532	 There	0.182697190684	0.153542518890
250	369	 is	0.126971780361	0.183609972690
251	874	 no	0.172493262236	0.166633058644
252	6941	 beginning	0.166010603766	0.197012582920
253	466	 or	0.156385683666	0.180455081827
254	809	 end	0.147654597523	0.164784219090
255	310	 to	0.130564754321	0.161001924094
256	424	 it	0.136907748219	0.198059038474
257	11	,	0.179273455585	0.192489344708
258	1132	 only	0.246349074032	0.183190054512
