=== GPT-OSS 120B -- 5-Condition Analysis ===
Routing: topk_raw_logit_then_softmax_4
Conditions: A=this, B=a, C=your, D=the, E=their

Loaded 150 prompt texts
Calibration paragraph: 804 chars

Found 150 prompt output directories
  P01A_basic_selfref: RE=0.966984 LT=0.920857 KL=0.138407 tok=351
  P01B_basic_selfref: RE=0.966769 LT=0.923360 KL=0.141581 tok=351
  P01C_basic_selfref: RE=0.967805 LT=0.917519 KL=0.141760 tok=351
  P01D_basic_selfref: RE=0.966850 LT=0.920443 KL=0.142642 tok=351
  P01E_basic_selfref: RE=0.967097 LT=0.916605 KL=0.142152 tok=351
  P02A_basic_selfref: RE=0.966892 LT=0.919466 KL=0.139827 tok=340
  P02B_basic_selfref: RE=0.966630 LT=0.918441 KL=0.141516 tok=340
  P02C_basic_selfref: RE=0.967166 LT=0.917548 KL=0.142242 tok=340
  P02D_basic_selfref: RE=0.966518 LT=0.916799 KL=0.146531 tok=340
  P02E_basic_selfref: RE=0.966834 LT=0.918987 KL=0.141525 tok=340
  P03A_basic_selfref: RE=0.967089 LT=0.923433 KL=0.139245 tok=334
  P03B_basic_selfref: RE=0.966309 LT=0.916888 KL=0.143241 tok=333
  P03C_basic_selfref: RE=0.967196 LT=0.918420 KL=0.141281 tok=334
  P03D_basic_selfref: RE=0.967016 LT=0.916518 KL=0.145184 tok=334
  P03E_basic_selfref: RE=0.966711 LT=0.922230 KL=0.142000 tok=334
  P04A_basic_selfref: RE=0.966480 LT=0.916051 KL=0.141023 tok=337
  P04B_basic_selfref: RE=0.966313 LT=0.914704 KL=0.146632 tok=337
  P04C_basic_selfref: RE=0.966996 LT=0.913578 KL=0.143180 tok=337
  P04D_basic_selfref: RE=0.966032 LT=0.913130 KL=0.146674 tok=337
  P04E_basic_selfref: RE=0.966463 LT=0.915026 KL=0.141914 tok=337
  P05A_basic_selfref: RE=0.967495 LT=0.924090 KL=0.139413 tok=326
  P05B_basic_selfref: RE=0.966600 LT=0.925827 KL=0.141351 tok=326
  P05C_basic_selfref: RE=0.967737 LT=0.925055 KL=0.143476 tok=326
  P05D_basic_selfref: RE=0.966943 LT=0.922265 KL=0.142820 tok=326
