phase	token_index_in_phase	global_token_index	token_id	token_piece	entropy_all	entropy_softmax	entropy_deltanet	E48_W_all	E48_S_all	E48_Q_all	E48_rankW_all	E48_rankS_all	E48_W_softmax	E48_S_softmax	E48_Q_softmax	E48_rankW_softmax	E48_rankS_softmax	E48_W_deltanet	E48_S_deltanet	E48_Q_deltanet	E48_rankW_deltanet	E48_rankS_deltanet	top1_expert	top1_W	top1_S	top1_Q	top2_expert	top2_W	top2_S	top2_Q	top3_expert	top3_W	top3_S	top3_Q	top4_expert	top4_W	top4_S	top4_Q	top5_expert	top5_W	top5_S	top5_Q	top6_expert	top6_W	top6_S	top6_Q	top7_expert	top7_W	top7_S	top7_Q	top8_expert	top8_W	top8_S	top8_Q
prefill	0	0	27	<	0.60943113	0.64745212	0.59675747	0.00374471	0.02083333	0.17974590	77	177	0.00000000	0.00000000		105	105	0.00499294	0.02777778	0.17974590	55	102	198	0.03521281	0.04166667	0.84510747	144	0.02902144	0.10416667	0.27860587	114	0.02280037	0.06250000	0.36480591	217	0.02165031	0.06250000	0.34640495	215	0.02114005	0.06250000	0.33824078	209	0.01953748	0.04166667	0.46889959	193	0.01850488	0.02083333	0.88823425	29	0.01833549	0.02083333	0.88010375
prefill	1	1	91	|	0.89680870	0.84798071	0.91308470	0.00555971	0.02083333	0.26686631	64	125	0.00000000	0.00000000		105	105	0.00741295	0.02777778	0.26686631	44	104	192	0.01934485	0.06250000	0.30951763	233	0.01923266	0.12500000	0.15386131	244	0.01620248	0.04166667	0.38885963	50	0.01566947	0.06250000	0.25071150	120	0.01536531	0.06250000	0.24584495	91	0.01505724	0.08333333	0.18068689	72	0.01491144	0.02083333	0.71574934	131	0.01444524	0.06250000	0.23112387
prefill	2	2	316	im	0.90880357	0.84258000	0.93087809	0.00334470	0.04166667	0.08027268	117	104	0.00000000	0.00000000		90	90	0.00445959	0.05555556	0.08027268	90	60	184	0.02212130	0.06250000	0.35394077	122	0.01736004	0.04166667	0.41664099	175	0.01633111	0.06250000	0.26129779	225	0.01576330	0.10416667	0.15132768	140	0.01573260	0.06250000	0.25172161	153	0.01471249	0.10416667	0.14123993	168	0.01430086	0.08333333	0.17161038	120	0.01337625	0.06250000	0.21402002
prefill	3	3	4747	_start	0.87551507	0.84330075	0.88625318	0.00370293	0.02083333	0.17774041	108	167	0.00000000	0.00000000		93	93	0.00493723	0.02777778	0.17774041	76	105	239	0.02209652	0.06250000	0.35354434	182	0.01889713	0.10416667	0.18141245	51	0.01879003	0.06250000	0.30064054	175	0.01722392	0.10416667	0.16534962	231	0.01681106	0.04166667	0.40346532	122	0.01648882	0.02083333	0.79146318	233	0.01638927	0.08333333	0.19667128	107	0.01508225	0.08333333	0.18098700
prefill	4	4	91	|	0.91595400	0.87762058	0.92873181	0.00000000	0.00000000		218	218	0.00000000	0.00000000		90	90	0.00000000	0.00000000		187	187	166	0.02854374	0.08333333	0.34252489	122	0.02201564	0.04166667	0.52837543	131	0.01539582	0.10416667	0.14779988	156	0.01414371	0.06250000	0.22629939	20	0.01399013	0.10416667	0.13430521	209	0.01356614	0.06250000	0.21705827	17	0.01316042	0.12500000	0.10528336	188	0.01276062	0.04166667	0.30625489
prefill	5	5	29	>	0.92313848	0.91629705	0.92541896	0.00668113	0.06250000	0.10689814	49	46	0.00000000	0.00000000		105	105	0.00890818	0.08333333	0.10689814	35	13	131	0.01981647	0.12500000	0.15853180	209	0.01940549	0.08333333	0.23286591	20	0.01730353	0.12500000	0.13842824	21	0.01639490	0.06250000	0.26231843	122	0.01431708	0.04166667	0.34360988	17	0.01354641	0.16666667	0.08127847	110	0.01346061	0.10416667	0.12922188	221	0.01341845	0.12500000	0.10734761
prefill	6	6	846	user	0.93059677	0.92290997	0.93315904	0.00700305	0.06250000	0.11204882	48	29	0.00000000	0.00000000		89	89	0.00933740	0.08333333	0.11204882	30	9	233	0.01594194	0.10416667	0.15304258	131	0.01341221	0.08333333	0.16094655	166	0.01331593	0.06250000	0.21305488	21	0.01308821	0.10416667	0.12564683	236	0.01277838	0.08333333	0.15334060	234	0.01266159	0.06250000	0.20258540	225	0.01261877	0.04166667	0.30285037	19	0.01241939	0.10416667	0.11922612
prefill	7	7	198	\n	0.91853755	0.92393348	0.91673890	0.00218357	0.02083333	0.10481128	151	173	0.00000000	0.00000000		105	105	0.00291142	0.02777778	0.10481128	120	117	131	0.02391877	0.08333333	0.28702527	207	0.01664581	0.04166667	0.39949948	220	0.01645337	0.06250000	0.26325385	217	0.01491887	0.08333333	0.17902644	241	0.01438304	0.04166667	0.34519302	14	0.01329341	0.04166667	0.31904194	166	0.01302829	0.06250000	0.20845265	17	0.01232907	0.12500000	0.09863259
prefill	8	8	3733	There	0.93187999	0.93128860	0.93207712	0.00423146	0.04166667	0.10155495	102	61	0.00000000	0.00000000		106	106	0.00564194	0.05555556	0.10155495	74	56	9	0.02100500	0.14583333	0.14403431	35	0.01713004	0.06250000	0.27408071	68	0.01672028	0.06250000	0.26752447	20	0.01573098	0.06250000	0.25169567	17	0.01411516	0.14583333	0.09678970	194	0.01401109	0.06250000	0.22417747	131	0.01364971	0.08333333	0.16379652	162	0.01282807	0.06250000	0.20524913
prefill	9	9	369	 is	0.93435556	0.91478181	0.94088014	0.00593633	0.06250000	0.09498130	59	26	0.00000000	0.00000000		102	102	0.00791511	0.08333333	0.09498130	39	12	9	0.03113562	0.12500000	0.24908497	194	0.01807813	0.08333333	0.21693760	35	0.01685555	0.06250000	0.26968888	236	0.01471260	0.10416667	0.14124098	219	0.01467836	0.08333333	0.17614030	29	0.01429274	0.10416667	0.13721027	61	0.01308467	0.08333333	0.15701605	8	0.01297949	0.08333333	0.15575382
prefill	10	10	264	 a	0.93808766	0.91059429	0.94725212	0.00488036	0.04166667	0.11712867	82	54	0.00000000	0.00000000		102	102	0.00650715	0.05555556	0.11712867	59	30	194	0.01774608	0.04166667	0.42590591	35	0.01689182	0.08333333	0.20270179	3	0.01470451	0.10416667	0.14116328	61	0.01427561	0.08333333	0.17130731	7	0.01382689	0.06250000	0.22123030	140	0.01317687	0.04166667	0.31624483	9	0.01269515	0.08333333	0.15234177	236	0.01204720	0.12500000	0.09637763
prefill	11	11	4131	 quality	0.90216804	0.87165897	0.91233773	0.00523980	0.06250000	0.08383680	73	16	0.00000000	0.00000000		89	89	0.00698640	0.08333333	0.08383680	53	10	62	0.02007466	0.12500000	0.16059724	27	0.01846240	0.06250000	0.29539835	134	0.01693936	0.06250000	0.27102975	140	0.01640614	0.06250000	0.26249829	161	0.01559515	0.04166667	0.37428371	57	0.01512874	0.04166667	0.36308987	83	0.01376037	0.06250000	0.22016592	7	0.01335474	0.08333333	0.16025694
prefill	12	12	310	 to	0.91489291	0.88057181	0.92633327	0.00534714	0.04166667	0.12833137	68	104	0.00000000	0.00000000		105	105	0.00712952	0.05555556	0.12833137	42	24	207	0.01988679	0.08333333	0.23864150	3	0.01869930	0.10416667	0.17951326	8	0.01670985	0.10416667	0.16041460	116	0.01634263	0.04166667	0.39222322	6	0.01577317	0.06250000	0.25237071	108	0.01527850	0.06250000	0.24445594	81	0.01377129	0.04166667	0.33051096	67	0.01316087	0.04166667	0.31586098
prefill	13	13	8427	 processing	0.93606125	0.95275392	0.93049703	0.00402475	0.04166667	0.09659390	113	103	0.00891260	0.08333333	0.10695115	48	18	0.00239546	0.02777778	0.08623664	145	112	140	0.01501010	0.08333333	0.18012124	183	0.01450939	0.06250000	0.23215025	71	0.01376088	0.06250000	0.22017416	7	0.01353216	0.08333333	0.16238591	255	0.01276264	0.04166667	0.30630342	216	0.01208391	0.06250000	0.19334257	207	0.01150251	0.06250000	0.18404022	27	0.01144986	0.06250000	0.18319778
prefill	14	14	421	 that	0.92693032	0.92669980	0.92700716	0.01099472	0.08333333	0.13193659	15	10	0.01633157	0.08333333	0.19597881	19	18	0.00921577	0.08333333	0.11058919	27	13	108	0.02313554	0.14583333	0.15864368	1	0.02117655	0.06250000	0.33882478	150	0.01823389	0.08333333	0.21880673	7	0.01807181	0.06250000	0.28914899	5	0.01629563	0.10416667	0.15643801	151	0.01601094	0.08333333	0.19213134	67	0.01451985	0.08333333	0.17423816	35	0.01425002	0.12500000	0.11400015
prefill	15	15	22294	 sits	0.93507288	0.94426447	0.93200901	0.00804322	0.04166667	0.19303735	36	56	0.00000000	0.00000000		105	105	0.01072430	0.05555556	0.19303735	22	28	123	0.01718581	0.14583333	0.11784553	34	0.01688168	0.12500000	0.13505345	68	0.01670186	0.10416667	0.16033787	19	0.01529405	0.06250000	0.24470488	158	0.01525205	0.06250000	0.24403285	151	0.01496828	0.06250000	0.23949252	1	0.01455543	0.06250000	0.23288694	6	0.01452704	0.08333333	0.17432452
prefill	16	16	23221	 beneath	0.93181430	0.93640508	0.93028404	0.00714705	0.04166667	0.17152928	39	102	0.00000000	0.00000000		100	100	0.00952940	0.05555556	0.17152928	28	32	5	0.02314483	0.10416667	0.22219039	49	0.01683253	0.10416667	0.16159234	68	0.01500797	0.12500000	0.12006377	215	0.01385798	0.10416667	0.13303665	11	0.01366779	0.06250000	0.21868457	252	0.01363554	0.12500000	0.10908430	58	0.01335396	0.08333333	0.16024752	82	0.01322274	0.06250000	0.21156379
prefill	17	17	279	 the	0.95632431	0.96507964	0.95340587	0.00243536	0.02083333	0.11689721	152	126	0.00974143	0.08333333	0.11689721	44	20	0.00000000	0.00000000		190	190	215	0.01910113	0.06250000	0.30561811	8	0.01761874	0.10416667	0.16913988	253	0.01708505	0.06250000	0.27336074	49	0.01691861	0.10416667	0.16241865	34	0.01585798	0.10416667	0.15223664	35	0.01465546	0.10416667	0.14069246	11	0.01437920	0.08333333	0.17255043	108	0.01388366	0.06250000	0.22213859
prefill	18	18	2144	 content	0.94675074	0.96351120	0.94116392	0.00800236	0.06250000	0.12803774	30	30	0.00982533	0.08333333	0.11790395	40	20	0.00739470	0.05555556	0.13310463	47	30	54	0.02390859	0.06250000	0.38253737	49	0.01630970	0.08333333	0.19571637	23	0.01481795	0.10416667	0.14225230	58	0.01474276	0.04166667	0.35382619	210	0.01451902	0.10416667	0.13938257	113	0.01391234	0.10416667	0.13355842	140	0.01372830	0.10416667	0.13179169	6	0.01366482	0.10416667	0.13118232
prefill	19	19	1892	 —	0.93066084	0.93005438	0.93086299	0.00376964	0.04166667	0.09047145	123	108	0.00794187	0.08333333	0.09530243	55	25	0.00237890	0.02777778	0.08564047	140	114	0	0.02628657	0.16666667	0.15771939	209	0.02061984	0.10416667	0.19795046	108	0.01774977	0.10416667	0.17039783	1	0.01535662	0.10416667	0.14742355	207	0.01454727	0.08333333	0.17456721	140	0.01345948	0.08333333	0.16151379	15	0.01341644	0.10416667	0.12879782	215	0.01261741	0.08333333	0.15140891
prefill	20	20	23221	 beneath	0.93459044	0.94340473	0.93165234	0.00534567	0.02083333	0.25659222	72	123	0.00000000	0.00000000		109	109	0.00712756	0.02777778	0.25659222	53	108	34	0.02168002	0.14583333	0.14866299	32	0.01955835	0.06250000	0.31293367	2	0.01758255	0.08333333	0.21099061	11	0.01647013	0.10416667	0.15811325	231	0.01630850	0.04166667	0.39140392	4	0.01426776	0.08333333	0.17121313	155	0.01372424	0.06250000	0.21958780	24	0.01344319	0.10416667	0.12905462
prefill	21	21	279	 the	0.94902670	0.95456410	0.94718090	0.00434294	0.04166667	0.10423065	98	64	0.01093880	0.08333333	0.13126557	32	18	0.00214433	0.02777778	0.07719574	171	107	215	0.01770130	0.04166667	0.42483128	52	0.01734040	0.10416667	0.16646779	253	0.01454759	0.04166667	0.34914223	203	0.01318016	0.10416667	0.12652952	11	0.01292620	0.10416667	0.12409151	7	0.01245842	0.06250000	0.19933471	49	0.01221985	0.08333333	0.14663820	77	0.01194446	0.08333333	0.14333356
prefill	22	22	3050	 specific	0.95997152	0.95797751	0.96063619	0.00393304	0.02083333	0.18878605	113	178	0.00000000	0.00000000		106	106	0.00524406	0.02777778	0.18878605	83	115	7	0.02088210	0.08333333	0.25058519	23	0.01943098	0.14583333	0.13324101	33	0.01714244	0.10416667	0.16456742	17	0.01660194	0.08333333	0.19922325	54	0.01334682	0.06250000	0.21354913	123	0.01299484	0.10416667	0.12475045	2	0.01183105	0.06250000	0.18929673	210	0.01148519	0.06250000	0.18376303
