phase	token_index_in_phase	global_token_index	token_id	token_piece	entropy_all	entropy_softmax	entropy_deltanet	E48_W_all	E48_S_all	E48_Q_all	E48_rankW_all	E48_rankS_all	E48_W_softmax	E48_S_softmax	E48_Q_softmax	E48_rankW_softmax	E48_rankS_softmax	E48_W_deltanet	E48_S_deltanet	E48_Q_deltanet	E48_rankW_deltanet	E48_rankS_deltanet	top1_expert	top1_W	top1_S	top1_Q	top2_expert	top2_W	top2_S	top2_Q	top3_expert	top3_W	top3_S	top3_Q	top4_expert	top4_W	top4_S	top4_Q	top5_expert	top5_W	top5_S	top5_Q	top6_expert	top6_W	top6_S	top6_Q	top7_expert	top7_W	top7_S	top7_Q	top8_expert	top8_W	top8_S	top8_Q
prefill	0	0	27	<	0.60937265	0.64746650	0.59667470	0.00373707	0.02083333	0.17937946	78	177	0.00000000	0.00000000		105	105	0.00498276	0.02777778	0.17937946	55	102	198	0.03521065	0.04166667	0.84505567	144	0.02903762	0.10416667	0.27876116	114	0.02279973	0.06250000	0.36479573	217	0.02166342	0.06250000	0.34661464	215	0.02113974	0.06250000	0.33823589	209	0.01953754	0.04166667	0.46890090	193	0.01850521	0.02083333	0.88825027	29	0.01833295	0.02083333	0.87998151
prefill	1	1	91	|	0.89662129	0.84549793	0.91366240	0.00556224	0.02083333	0.26698773	63	125	0.00000000	0.00000000		105	105	0.00741633	0.02777778	0.26698773	44	104	192	0.01941724	0.06250000	0.31067590	233	0.01926731	0.12500000	0.15413851	244	0.01622725	0.04166667	0.38945400	50	0.01568213	0.06250000	0.25091408	120	0.01538144	0.06250000	0.24610304	91	0.01499032	0.08333333	0.17988379	72	0.01491211	0.02083333	0.71578121	21	0.01448731	0.08333333	0.17384778
prefill	2	2	316	im	0.90982166	0.84469141	0.93153174	0.00335901	0.04166667	0.08061635	115	105	0.00000000	0.00000000		106	106	0.00447869	0.05555556	0.08061635	88	54	184	0.02215200	0.06250000	0.35443204	122	0.01742171	0.04166667	0.41812103	175	0.01643394	0.06250000	0.26294303	140	0.01567025	0.06250000	0.25072404	225	0.01553613	0.10416667	0.14914687	160	0.01441836	0.06250000	0.23069370	156	0.01432251	0.10416667	0.13749614	168	0.01417189	0.08333333	0.17006265
prefill	3	3	4747	_start	0.87532526	0.84275539	0.88618189	0.00365981	0.02083333	0.17567107	113	167	0.00000000	0.00000000		94	94	0.00487975	0.02777778	0.17567107	78	105	239	0.02194643	0.06250000	0.35114295	51	0.01863757	0.06250000	0.29820108	175	0.01705879	0.10416667	0.16376438	231	0.01678728	0.04166667	0.40289480	122	0.01644169	0.02083333	0.78920094	233	0.01630862	0.08333333	0.19570344	182	0.01557068	0.08333333	0.18684821	107	0.01500359	0.08333333	0.18004311
prefill	4	4	91	|	0.91540435	0.87627231	0.92844837	0.00000000	0.00000000		218	218	0.00000000	0.00000000		105	105	0.00000000	0.00000000		187	187	166	0.02577824	0.06250000	0.41245183	122	0.02212285	0.04166667	0.53094831	131	0.01712467	0.12500000	0.13699733	110	0.01628019	0.10416667	0.15628982	156	0.01416645	0.06250000	0.22666316	209	0.01352604	0.06250000	0.21641664	17	0.01301171	0.12500000	0.10409368	188	0.01277294	0.04166667	0.30655062
prefill	5	5	29	>	0.92280689	0.91377628	0.92581709	0.00670308	0.06250000	0.10724933	49	46	0.00000000	0.00000000		105	105	0.00893744	0.08333333	0.10724933	34	13	131	0.01991161	0.12500000	0.15929290	209	0.01938964	0.08333333	0.23267564	20	0.01788494	0.12500000	0.14307954	122	0.01446701	0.04166667	0.34720821	21	0.01382297	0.04166667	0.33175137	110	0.01362277	0.10416667	0.13077858	17	0.01361152	0.16666667	0.08166912	221	0.01342793	0.12500000	0.10742346
prefill	6	6	846	user	0.93087440	0.92322537	0.93342407	0.00686180	0.06250000	0.10978887	50	26	0.00000000	0.00000000		89	89	0.00914907	0.08333333	0.10978887	31	9	233	0.01596587	0.10416667	0.15327240	131	0.01325071	0.08333333	0.15900856	21	0.01303961	0.10416667	0.12518026	20	0.01300381	0.12500000	0.10403046	236	0.01274256	0.08333333	0.15291072	234	0.01263230	0.06250000	0.20211676	225	0.01262466	0.04166667	0.30299174	166	0.01244969	0.06250000	0.19919505
prefill	7	7	198	\n	0.91817390	0.92237510	0.91677350	0.00220877	0.02083333	0.10602100	150	164	0.00000000	0.00000000		105	105	0.00294503	0.02777778	0.10602100	121	117	131	0.02386283	0.08333333	0.28635399	207	0.01662501	0.04166667	0.39900014	220	0.01649904	0.06250000	0.26398459	166	0.01635241	0.08333333	0.19622896	217	0.01497233	0.08333333	0.17966800	241	0.01438872	0.04166667	0.34532929	14	0.01331426	0.04166667	0.31954221	17	0.01240957	0.12500000	0.09927654
prefill	8	8	44812	Transformer	0.92778389	0.91762195	0.93117121	0.00295481	0.04166667	0.07091533	133	59	0.00000000	0.00000000		105	105	0.00393974	0.05555556	0.07091533	99	28	46	0.02133505	0.08333333	0.25602057	32	0.01700639	0.08333333	0.20407673	10	0.01675632	0.12500000	0.13405057	107	0.01482077	0.06250000	0.23713224	56	0.01466019	0.08333333	0.17592226	15	0.01428838	0.10416667	0.13716849	127	0.01376170	0.06250000	0.22018713	6	0.01232573	0.08333333	0.14790870
prefill	9	9	3983	 models	0.89804363	0.89045560	0.90057297	0.00451814	0.04166667	0.10843533	87	54	0.00900414	0.08333333	0.10804965	43	14	0.00302281	0.02777778	0.10882101	126	112	107	0.01869148	0.08333333	0.22429774	131	0.01814199	0.06250000	0.29027183	215	0.01540289	0.06250000	0.24644624	118	0.01441968	0.02083333	0.69214451	221	0.01347786	0.06250000	0.21564577	184	0.01329739	0.08333333	0.15956872	77	0.01287008	0.06250000	0.20592135	56	0.01279561	0.06250000	0.20472978
prefill	10	10	1817	 process	0.92901990	0.92026130	0.93193943	0.00304534	0.04166667	0.07308817	125	102	0.00590057	0.08333333	0.07080683	66	24	0.00209360	0.02777778	0.07536950	144	118	13	0.02421288	0.08333333	0.29055457	140	0.01957884	0.06250000	0.31326149	39	0.01933561	0.10416667	0.18562188	107	0.01922932	0.06250000	0.30766906	34	0.01581159	0.10416667	0.15179129	76	0.01495192	0.10416667	0.14353846	17	0.01417910	0.08333333	0.17014924	108	0.01326937	0.10416667	0.12738599
prefill	11	11	1879	 input	0.90614975	0.90330676	0.90709741	0.00000000	0.00000000		224	224	0.00000000	0.00000000		100	100	0.00000000	0.00000000		192	192	166	0.02697782	0.10416667	0.25898704	107	0.02240713	0.06250000	0.35851406	94	0.01956372	0.08333333	0.23476469	216	0.01544289	0.06250000	0.24708626	113	0.01534697	0.12500000	0.12277579	59	0.01406272	0.08333333	0.16875259	219	0.01401776	0.10416667	0.13457049	96	0.01361157	0.04166667	0.32667756
prefill	12	12	1414	 text	0.93506428	0.92562285	0.93821143	0.00577440	0.06250000	0.09239041	74	13	0.00570705	0.08333333	0.06848459	73	17	0.00579685	0.05555556	0.10434333	71	25	166	0.02095428	0.10416667	0.20116113	107	0.01690123	0.06250000	0.27041965	113	0.01299361	0.06250000	0.20789769	68	0.01240197	0.06250000	0.19843151	94	0.01225842	0.06250000	0.19613470	216	0.01187192	0.10416667	0.11397044	170	0.01134705	0.08333333	0.13616460	244	0.01079713	0.08333333	0.12956553
prefill	13	13	1472	 through	0.93147423	0.91479487	0.93703402	0.00473057	0.04166667	0.11353372	88	114	0.00000000	0.00000000		105	105	0.00630743	0.05555556	0.11353372	62	25	166	0.02053748	0.14583333	0.14082840	4	0.01726131	0.06250000	0.27618092	5	0.01634763	0.10416667	0.15693721	108	0.01565219	0.12500000	0.12521749	119	0.01437027	0.06250000	0.22992433	100	0.01415582	0.04166667	0.33973969	13	0.01397555	0.08333333	0.16770658	197	0.01332016	0.04166667	0.31968375
prefill	14	14	264	 a	0.94372354	0.95550007	0.93979803	0.01327676	0.08333333	0.15932108	7	5	0.01539833	0.08333333	0.18478001	24	23	0.01256956	0.08333333	0.15083477	10	11	153	0.01672854	0.08333333	0.20074252	215	0.01606457	0.08333333	0.19277485	128	0.01555237	0.12500000	0.12441899	216	0.01555015	0.10416667	0.14928144	253	0.01447751	0.08333333	0.17373010	13	0.01371327	0.08333333	0.16455929	48	0.01327676	0.08333333	0.15932108	61	0.01275567	0.08333333	0.15306808
prefill	15	15	8240	 sequence	0.91298884	0.86105202	0.93030111	0.01572635	0.06250000	0.25162160	4	30	0.01349228	0.08333333	0.16190741	23	17	0.01647104	0.05555556	0.29647869	5	58	166	0.02730561	0.08333333	0.32766727	82	0.01797077	0.10416667	0.17251942	216	0.01674723	0.10416667	0.16077338	48	0.01572635	0.06250000	0.25162160	107	0.01547346	0.04166667	0.37136316	58	0.01540927	0.08333333	0.18491118	94	0.01525582	0.10416667	0.14645588	183	0.01523974	0.08333333	0.18287685
prefill	16	16	314	 of	0.93287106	0.90957388	0.94063679	0.00315993	0.02083333	0.15167663	123	161	0.00000000	0.00000000		105	105	0.00421324	0.02777778	0.15167663	96	111	208	0.01750354	0.06250000	0.28005662	10	0.01595586	0.12500000	0.12764686	197	0.01557643	0.06250000	0.24922280	108	0.01548099	0.12500000	0.12384790	116	0.01499126	0.04166667	0.35979018	166	0.01461843	0.12500000	0.11694743	216	0.01273021	0.08333333	0.15276248	177	0.01264942	0.08333333	0.15179302
