Thinking Process:

1.  **Analyze the Request:**
    *   **Topic:** Electrical conductivity.
    *   **Subjects:** Copper (conductor) vs. Rubber (insulator).
    *   **Task:** Explain *why* copper conducts electricity well while rubber does not.
    *   **Target Audience:** General audience (likely looking for a clear, scientific but accessible explanation).

2.  **Identify Key Concepts:**
    *   Atomic structure (electrons, protons, neutrons).
    *   Valence electrons (outer shell).
    *   Electron mobility/free electrons.
    *   Energy bands (valence band vs. conduction band) - *Optional but good for depth.*
    *   Bonding types (metallic vs. covalent).

3.  **Drafting the Explanation - Step-by-Step:**

    *   **Introduction:** State the basic difference (conductor vs. insulator).
    *   **Copper (The Conductor):**
        *   Focus on atomic structure.
        *   Mention "free electrons" or "sea of electrons."
        *   Explain how these electrons move easily when voltage is applied.
