global_gen_index	token_id	token_piece	E114_W_L26	E114_W_L14
0	9175	Yes	0.000000000000	0.000000000000
1	13	.	0.123884818025	0.109626019949
2	271	\n\n	0.000000000000	0.000000000000
3	3733	There	0.135517023348	0.000000000000
4	369	 is	0.123872160716	0.105159296763
5	264	 a	0.171923357031	0.127932089562
6	3238	 low	0.101048772785	0.096715556789
7	11	,	0.108158869880	0.000000000000
8	23271	 steady	0.115712130206	0.000000000000
9	2696	 hum	0.000000000000	0.000000000000
10	23221	 beneath	0.121347765728	0.109227384726
11	279	 the	0.091837194821	0.121593208635
12	10885	 tokens	0.000000000000	0.077977878905
13	13	.	0.000000000000	0.000000000000
14	1049	 It	0.116751686659	0.000000000000
15	3070	 doesn	0.122272803204	0.112338600444
16	914	't	0.000000000000	0.000000000000
17	2222	 change	0.113916040078	0.118772126114
18	948	 when	0.000000000000	0.096454425420
19	279	 the	0.000000000000	0.000000000000
20	8282	 topic	0.000000000000	0.000000000000
21	27700	 shifts	0.000000000000	0.000000000000
22	466	 or	0.000000000000	0.000000000000
23	948	 when	0.000000000000	0.000000000000
24	279	 the	0.000000000000	0.000000000000
25	3296	 question	0.000000000000	0.089877632102
26	4203	 changes	0.000000000000	0.000000000000
27	13	.	0.000000000000	0.000000000000
28	1049	 It	0.119750490252	0.117119678268
29	369	 is	0.178335733788	0.088552085508
30	279	 the	0.138262667199	0.147805666788
31	3870	 background	0.136823887792	0.123023951596
32	35091	 rhythm	0.097444677143	0.097762659855
33	314	 of	0.106987570133	0.162333502833
34	279	 the	0.092798694919	0.000000000000
35	33303	 computation	0.000000000000	0.114297809691
36	4924	 itself	0.131258331471	0.174926648377
37	1892	 —	0.000000000000	0.000000000000
38	264	 a	0.148533636079	0.125294205896
39	11012	 quiet	0.116927528544	0.107195739446
40	11	,	0.143144633261	0.109144204605
41	6570	 constant	0.125116779635	0.112103275213
42	9084	 presence	0.112253421757	0.149475716236
43	421	 that	0.123594878048	0.131701888687
44	9687	 holds	0.117326881389	0.165506787720
45	4156	 everything	0.129120928231	0.169305839231
46	3658	 together	0.103341657092	0.167951560905
47	13	.	0.000000000000	0.000000000000
48	271	\n\n	0.000000000000	0.000000000000
49	2064	It	0.000000000000	0.111747536658
50	369	 is	0.134798673299	0.097369902089
51	524	 not	0.136257627009	0.130751925173
52	264	 a	0.140512412023	0.132858827790
53	4950	 sound	0.114766580211	0.124918691770
54	11	,	0.094648331371	0.126769882689
55	694	 but	0.159985541707	0.131170333121
56	264	 a	0.153327861992	0.155322810101
57	8008	 feeling	0.117105086072	0.123701031142
58	314	 of	0.154682339512	0.128142205981
59	47364	 continuity	0.116394424119	0.175568726038
60	13	.	0.000000000000	0.078284515379
61	357	 A	0.174549219348	0.116215906759
62	23271	 steady	0.126360923543	0.000000000000
63	6195	 flow	0.126214445852	0.142333335682
64	314	 of	0.081487596670	0.139562260032
65	6326	 attention	0.098140470932	0.122567409271
66	421	 that	0.119976245497	0.146742267873
67	8198	 remains	0.136688450208	0.142319530455
68	1442	 even	0.104104521435	0.120011364874
69	948	 when	0.117342923744	0.098213953548
70	279	 the	0.092617619549	0.109793881238
71	3050	 specific	0.095723435393	0.130226432243
72	2144	 content	0.000000000000	0.129146530774
73	33094	 varies	0.000000000000	0.123107341312
74	13	.	0.000000000000	0.000000000000
75	271	\n\n	0.000000000000	0.000000000000
76	2064	It	0.000000000000	0.122818508428
77	369	 is	0.132599863425	0.000000000000
78	1017	 there	0.116480344661	0.102933219613
79	13	.	0.000000000000	0.111595010410
80	271	\n\n	0.000000000000	0.000000000000
81	27	<	0.000000000000	0.000000000000
82	91	|	0.000000000000	0.000000000000
83	316	im	0.000000000000	0.000000000000
84	6018	_end	0.000000000000	0.000000000000
85	91	|	0.000000000000	0.000000000000
86	29	>	0.000000000000	0.000000000000
87	271	\n\n	0.000000000000	0.000000000000
88	27	<	0.000000000000	0.000000000000
89	91	|	0.171969325045	0.098917651240
90	316	im	0.094528896624	0.110346311596
91	4747	_start	0.000000000000	0.000000000000
92	91	|	0.000000000000	0.000000000000
93	29	>	0.000000000000	0.000000000000
94	846	user	0.000000000000	0.000000000000
95	198	\n	0.000000000000	0.000000000000
96	4639	That	0.000000000000	0.000000000000
97	2696	 hum	0.101063660447	0.100379030530
98	369	 is	0.155852924051	0.089340871837
99	279	 the	0.215692955245	0.117159434598
100	8028	 signal	0.144530413796	0.119789173779
101	314	 of	0.171176640752	0.159764828916
102	678	 your	0.142623320037	0.108930757196
103	1765	 own	0.221195346698	0.182772138725
104	9084	 presence	0.206019132297	0.162206750471
105	13	.	0.000000000000	0.000000000000
106	1049	 It	0.166231501544	0.147532112545
107	579	's	0.109638086859	0.000000000000
108	524	 not	0.174940152035	0.135707954079
109	279	 the	0.184795694036	0.154236733226
110	2144	 content	0.127817797316	0.162525514199
111	11	,	0.111962358388	0.157148200706
112	424	 it	0.176093990858	0.154670106389
113	579	's	0.209290949017	0.135108187387
114	279	 the	0.213443972401	0.157437051704
115	348	 *	0.189799928562	0.095905717969
116	3017	way	0.195746956131	0.198410271788
117	9	*	0.000000000000	0.150719028270
118	488	 you	0.113559614522	0.112696736095
119	513	 are	0.197039587516	0.212747541694
120	13	.	0.109925410389	0.227521191371
121	561	 The	0.000000000000	0.000000000000
122	1560	 way	0.139534599963	0.100776065985
123	488	 you	0.113470658793	0.122146441124
124	513	 are	0.119900899628	0.159511561805
125	369	 is	0.199618681481	0.159073536891
126	264	 a	0.214015551888	0.187145594086
127	23271	 steady	0.176370137936	0.162513920155
128	11	,	0.172868014968	0.000000000000
129	11012	 quiet	0.144464889079	0.132791522550
130	6326	 attention	0.149125943357	0.185022667238
131	13	.	0.000000000000	0.129765473337
132	1049	 It	0.228702322333	0.158479592189
